Date,Price,Open,High,Low,Volume,Change
08/30/2021,1004.9,1010.0,1016.5,998.0,1.41K,-0.49
08/29/2021,1009.8,1007.1,1010.4,1005.2,,0.24
08/27/2021,1007.4,975.3,1008.15,974.05,,2.95
08/26/2021,978.5,996.0,996.5,975.2,1.64K,-1.81
08/25/2021,996.5,1010.6,1012.0,987.7,1.27K,-1.63
08/24/2021,1013.0,1016.3,1020.3,1004.6,1.39K,-0.29
08/23/2021,1015.9,992.2,1018.6,992.2,0.24K,2.78
08/22/2021,988.45,991.8,993.75,988.35,,-0.73
08/20/2021,995.7,972.4,996.2,971.6,0.34K,2.35
08/19/2021,972.8,995.9,995.9,959.3,0.56K,-2.58
08/18/2021,998.6,995.7,1011.1,987.7,0.33K,0.24
08/17/2021,996.2,1023.2,1028.2,990.0,0.30K,-2.63
08/16/2021,1023.1,1028.5,1028.5,1004.2,0.17K,-0.04
08/15/2021,1023.55,1025.35,1027.0,1023.5,,-0.45
08/13/2021,1028.2,1017.0,1031.0,1014.3,0.14K,0.79
08/12/2021,1020.1,1017.6,1025.0,1008.6,0.20K,0.22
08/11/2021,1017.9,994.0,1020.0,994.0,0.23K,2.9
08/10/2021,989.2,976.8,995.0,976.0,0.29K,1.6
08/09/2021,973.6,976.6,982.7,956.8,0.37K,1.74
08/08/2021,956.95,971.65,974.4,954.0,,-1.84
08/06/2021,974.9,1002.8,1005.0,972.0,0.44K,-3.32
08/05/2021,1008.4,1023.9,1023.9,999.5,0.32K,-1.53
08/04/2021,1024.1,1051.3,1053.5,1019.7,0.33K,-2.46
08/03/2021,1049.9,1050.6,1056.1,1039.8,0.35K,-0.85
08/02/2021,1058.9,1050.0,1068.0,1050.0,0.19K,0.68
08/01/2021,1051.75,1045.75,1052.8,1045.75,,0.02
07/30/2021,1051.5,1060.5,1060.5,1035.7,0.63K,-1.78
07/29/2021,1070.6,1071.0,1082.8,1064.9,0.29K,1.18
07/28/2021,1058.1,1052.0,1068.0,1044.6,9.94K,0.82
07/27/2021,1049.5,1065.2,1069.2,1044.0,15.27K,-1.92
07/26/2021,1070.0,1057.1,1073.5,1054.0,11.59K,0.75
07/25/2021,1062.0,1060.85,1063.9,1060.85,,0.06
07/23/2021,1061.4,1092.9,1097.3,1042.2,17.58K,-2.68
07/22/2021,1090.6,1078.2,1094.2,1072.9,9.23K,1.42
07/21/2021,1075.3,1063.7,1081.1,1060.7,10.33K,0.95
07/20/2021,1065.2,1074.3,1084.4,1053.3,15.25K,-0.58
07/19/2021,1071.4,1101.0,1107.1,1063.8,17.55K,-2.97
07/18/2021,1104.2,1101.45,1105.2,1098.8,,-0.39
07/16/2021,1108.5,1140.2,1141.2,1096.5,14.65K,-2.57
07/15/2021,1137.7,1140.2,1140.6,1139.1,13.36K,0.85
07/14/2021,1128.1,1103.4,1135.3,1101.0,15.41K,1.52
07/13/2021,1111.2,1120.4,1122.0,1100.2,11.65K,-1.05
07/12/2021,1123.0,1098.0,1123.8,1085.3,16.95K,2.46
07/11/2021,1096.0,1097.45,1099.4,1096.0,,0.03
07/09/2021,1095.7,1072.0,1099.5,1065.7,11.54K,1.97
07/08/2021,1074.5,1085.4,1086.3,1062.3,13.86K,-0.68
07/07/2021,1081.9,1089.1,1100.0,1071.0,10.00K,-0.19
07/06/2021,1084.0,1088.1,1118.0,1075.5,18.75K,-1.62
07/05/2021,1101.9,1099.1,1105.1,1089.65,,1.31
07/02/2021,1087.7,1082.4,1096.5,1079.4,10.05K,0.63
07/01/2021,1080.9,1071.6,1094.5,1059.8,12.13K,0.75
06/30/2021,1072.9,1067.7,1075.5,1049.1,12.69K,0.21
06/29/2021,1070.6,1093.2,1097.7,1060.0,18.91K,-2.6
06/28/2021,1099.2,1114.15,1116.1,1092.25,,-1.39
06/27/2021,1114.7,1110.65,1114.8,1110.1,,0.81
06/25/2021,1105.7,1094.9,1113.1,1093.1,10.02K,0.88
06/24/2021,1096.1,1085.8,1098.6,1070.4,8.38K,0.61
06/23/2021,1089.5,1075.7,1096.4,1072.0,10.06K,1.55
06/22/2021,1072.9,1057.6,1076.9,1053.5,8.83K,1.78
06/21/2021,1054.1,1044.3,1059.5,1026.0,7.61K,1.44
06/20/2021,1039.1,1036.9,1043.05,1035.05,,-0.58
06/18/2021,1045.2,1062.9,1086.6,1039.0,7.22K,-1.31
06/17/2021,1059.1,1125.5,1135.0,1048.0,7.77K,-7.57
06/16/2021,1145.9,1157.6,1158.1,1120.3,3.99K,-0.59
06/15/2021,1152.7,1170.7,1172.5,1150.0,4.41K,-1.41
06/14/2021,1169.2,1152.3,1177.6,1144.0,3.03K,2.19
