Date,Price,Open,High,Low,Change
05/03/2022,9.6853,9.7394,9.7578,9.6799,-0.53
05/02/2022,9.7373,9.7363,9.7725,9.6966,0.12
04/29/2022,9.7261,9.7228,9.7521,9.632,0.07
04/28/2022,9.7197,9.8602,9.8712,9.7051,-1.4
04/27/2022,9.8581,9.9106,9.9351,9.8563,-0.49
04/26/2022,9.907,9.7571,9.9152,9.7306,1.56
04/25/2022,9.755,9.675,9.8232,9.6552,0.83
04/22/2022,9.675,9.6819,9.7096,9.623,-0.04
04/21/2022,9.6792,9.6502,9.7114,9.6096,0.34
04/20/2022,9.6463,9.6173,9.6966,9.5729,0.34
04/19/2022,9.614,9.7283,9.7313,9.6165,-1.15
04/18/2022,9.7254,9.7218,9.7631,9.6977,0.07
04/15/2022,9.719,9.7736,9.7805,9.6909,-0.54
04/14/2022,9.7716,9.7352,9.807,9.7317,0.39
04/13/2022,9.7337,9.7999,9.8114,9.7168,-0.62
04/12/2022,9.7949,9.8504,9.8894,9.7739,-0.5
04/11/2022,9.8438,9.9088,9.9136,9.8062,-0.42
04/08/2022,9.8849,9.8661,9.9007,9.8458,0.22
04/07/2022,9.8633,9.8349,9.8799,9.8274,0.3
04/06/2022,9.8335,9.8598,9.8702,9.8096,-0.21
04/05/2022,9.8546,9.8896,9.9272,9.8341,-0.29
04/04/2022,9.8832,9.9465,9.9627,9.8819,-0.73
04/01/2022,9.9554,9.9867,9.9909,9.9009,-0.2
03/31/2022,9.9751,9.9373,10.01,9.8781,0.41
03/30/2022,9.9344,9.8394,9.9666,9.8092,1.11
03/29/2022,9.8254,9.8759,9.9615,9.8195,-0.49
03/28/2022,9.8737,10.0466,10.0474,9.7923,-1.62
03/25/2022,10.0359,9.9797,10.0548,9.9694,0.69
03/24/2022,9.9671,10.0617,10.0906,9.97,-0.9
03/23/2022,10.0579,10.0582,10.1058,9.9979,-0.01
03/22/2022,10.0594,10.1926,10.2076,10.051,-1.29
03/21/2022,10.1904,10.1642,10.2175,10.1518,0.29
03/18/2022,10.1607,10.2077,10.2521,10.1586,-0.4
03/17/2022,10.2014,10.3252,10.3274,10.1741,-1.14
03/16/2022,10.3187,10.4951,10.512,10.3041,-1.6
03/15/2022,10.4862,10.5086,10.5866,10.4777,-0.09
03/14/2022,10.4961,10.5431,10.5513,10.4796,-0.47
03/11/2022,10.5454,10.5806,10.6179,10.5196,-0.33
03/10/2022,10.5806,10.5594,10.6166,10.5408,0.23
03/09/2022,10.5561,10.6647,10.6791,10.5526,-1.0
03/08/2022,10.6624,10.6869,10.7297,10.6152,-0.18
03/07/2022,10.6818,10.6068,10.7181,10.592,0.73
03/04/2022,10.604,10.4532,10.6383,10.4452,1.57
03/03/2022,10.4403,10.4164,10.4754,10.3956,0.25
03/02/2022,10.4143,10.4905,10.5056,10.3988,-0.71
03/01/2022,10.4883,10.4446,10.5121,10.408,0.52
02/28/2022,10.434,10.4185,10.4779,10.3461,0.71
02/25/2022,10.3605,10.4394,10.4592,10.3588,-0.74
02/24/2022,10.4375,10.3717,10.5457,10.3639,0.66
02/23/2022,10.369,10.3665,10.3874,10.3304,0.12
02/22/2022,10.3562,10.4109,10.4454,10.3427,-0.44
02/21/2022,10.4024,10.4024,10.4433,10.3521,0.1
02/18/2022,10.3919,10.4298,10.4488,10.353,-0.35
02/17/2022,10.4283,10.3641,10.4376,10.3454,0.64
02/16/2022,10.3623,10.3504,10.3944,10.3274,0.14
