,Silver_Price,Silver_Open,Silver_High,Silver_Low,Silver_Volume,Silver_Change,Gold_Price,Gold_Open,Gold_High,Gold_Low,Gold_Volume,Gold_Change,USD_Price,USD_Open,USD_High,USD_Low,USD_Change
2016-02-05,14.778,14.88,15.065,14.67,53.90K,-0.48,1157.7,1155.7,1175.0,1145.5,214.89K,0.02,1206.35,1191.94,1207.38,1189.44,1.21
2016-02-06,,,,,,,,,,,,,,,,,
2016-02-07,,,,,,,,,,,,,,,,,
2016-02-08,15.426,15.0,15.48,14.9,69.52K,4.38,1197.9,1174.0,1201.4,1164.5,249.46K,3.47,1204.05,1206.62,1211.7,1203.7,-0.19
2016-02-09,15.449,15.36,15.47,15.205,54.35K,0.15,1198.6,1189.5,1199.3,1185.9,190.80K,0.06,1198.7,1203.99,1209.4,1197.39,-0.44
2016-02-10,15.282,15.285,15.325,15.11,57.40K,-1.08,1194.6,1189.7,1198.1,1181.6,168.64K,-0.33,1189.05,1198.75,1202.09,1187.85,-0.81
2016-02-11,15.794,15.285,15.99,15.285,93.36K,3.35,1247.8,1197.5,1263.9,1196.3,365.65K,4.45,1200.65,1188.69,1206.8,1188.39,0.98
2016-02-12,15.79,15.805,15.845,15.65,53.86K,-0.03,1239.4,1247.1,1248.7,1232.9,191.13K,-0.67,1207.0,1200.65,1212.5,1198.79,0.53
2016-02-13,,,,,,,,,,,,,,,,,
2016-02-14,,,,,,,,,,,,,,,,,
2016-02-15,15.334,15.705,15.74,15.155,87.04K,-2.89,1208.2,1236.3,1236.3,1191.5,340.80K,-2.52,1214.74,1208.2,1214.74,1206.95,0.64
2016-02-16,15.345,15.455,15.455,15.26,0.43K,0.07,1208.2,1236.3,1236.3,1191.5,340.80K,0.0,1218.91,1214.39,1222.66,1211.29,0.34
2016-02-17,15.377,15.275,15.415,15.19,60.01K,0.21,1211.4,1201.9,1214.4,1196.2,162.45K,0.26,1224.24,1219.26,1232.16,1217.74,0.44
2016-02-18,15.432,15.315,15.57,15.225,62.25K,0.36,1226.3,1209.5,1240.6,1201.3,182.12K,1.23,1228.94,1224.25,1235.11,1222.43,0.38
